LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,TotalBsmtSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,PoolArea,YrSold,MoSold,Neighborhood,HouseStyle,GarageType,ExterCond,SalePrice
13541,6,4,1951,2010,2218.0,1767,3,1,2,1,3,1,2,42.0,0,2021,2,Sunnyvale,SplitLevel,None,Fair,356800
12181,8,3,1991,2019,2473.0,753,3,1,3,1,8,2,2,857.0,0,2020,9,Greenfield,SplitLevel,None,Fair,329300
17207,5,10,1963,2017,1069.0,3825,3,1,5,2,3,2,2,444.0,0,2023,9,Oakwood,2Story,Attached,Good,541900
7114,2,9,1965,1969,1611.0,1082,1,0,3,1,6,1,0,73.0,0,2021,5,Old Town,2Story,BuiltIn,Good,227100
12108,6,6,2019,1956,790.0,1562,3,0,5,2,10,0,2,93.0,0,2015,10,Old Town,1Story,BuiltIn,Excellent,347100
11636,7,3,2012,1966,492.0,3068,3,1,2,1,9,2,3,724.0,0,2018,5,Greenfield,2Story,None,Excellent,492500
8724,1,6,1986,1966,283.0,2518,3,0,1,2,6,2,1,387.0,0,2016,2,Lakeside,1.5Story,Attached,Good,381300
8299,3,4,1990,1954,612.0,3519,1,0,5,2,8,2,1,877.0,0,2019,11,Oakwood,1.5Story,Detached,Average,448400
12991,5,2,2004,2005,1484.0,3707,1,1,4,2,3,2,0,477.0,0,2018,5,Greenfield,2Story,Detached,Excellent,528600
4638,6,5,2007,2003,1345.0,2217,3,0,3,2,4,2,1,757.0,0,2017,5,Northgate,SplitLevel,BuiltIn,Poor,373700
16490,5,1,1950,1964,1777.0,1164,2,1,4,2,6,1,1,565.0,0,2022,6,Hillcrest,2Story,Attached,Average,307000
10967,10,5,1955,1971,1319.0,1311,3,1,2,1,8,0,2,411.0,0,2022,10,Sunnyvale,1Story,Attached,Excellent,388200
4167,1,3,1987,1999,1759.0,3219,1,1,1,1,11,1,1,429.0,400,2016,10,Downtown,SplitLevel,None,Excellent,494900
3125,4,3,2003,2003,868.0,4453,1,0,2,1,9,1,2,330.0,0,2017,5,Hillcrest,SplitLevel,Detached,Poor,580400
17933,7,4,1990,1987,1182.0,1984,1,1,4,2,9,0,3,748.0,0,2018,7,Lakeside,1Story,BuiltIn,Poor,388400
7255,1,10,1987,2012,244.0,4005,2,1,1,1,3,1,2,200.0,0,2022,10,Downtown,SplitLevel,Detached,Good,537500
16245,4,4,2009,2020,1512.0,2660,1,1,5,1,3,0,2,242.0,0,2015,9,Greenfield,1.5Story,Detached,Fair,384900
10843,5,5,2009,2013,1872.0,3141,2,1,3,1,4,2,2,78.0,400,2023,1,Lakeside,1.5Story,Attached,Average,555200
4286,3,10,1995,2018,1610.0,1437,2,0,1,2,9,1,3,633.0,400,2020,7,Downtown,2Story,Attached,Good,386300
4802,8,1,2015,2008,1526.0,2871,1,0,1,2,10,0,2,499.0,0,2023,10,Lakeside,SplitLevel,Attached,Good,496900
19964,9,5,1966,1977,2172.0,2306,3,1,1,1,6,1,1,840.0,0,2018,4,Hillcrest,SplitLevel,BuiltIn,Poor,454500
6009,8,8,1971,2000,1308.0,4303,1,1,2,1,8,0,2,215.0,0,2016,9,Sunnyvale,SplitLevel,Attached,Excellent,642900
13616,2,7,2012,1984,313.0,1498,2,1,5,2,11,0,0,152.0,0,2019,6,Sunnyvale,1Story,BuiltIn,Excellent,312300
15338,5,3,1974,2001,1197.0,2909,2,0,1,2,4,1,2,631.0,0,2022,7,Downtown,2Story,Detached,Good,444800
10783,2,6,1987,1951,56.0,4041,1,1,4,2,7,0,3,233.0,0,2021,5,Oakwood,2Story,BuiltIn,Excellent,503300
8390,6,1,1991,2007,738.0,2531,3,0,3,2,11,1,0,200.0,0,2017,10,Lakeside,1Story,Detached,Excellent,459200
7146,5,6,1953,1975,1884.0,4013,1,1,2,2,3,0,3,17.0,0,2016,10,Oakwood,1.5Story,None,Average,578000
5489,2,3,1962,1950,2248.0,3674,1,0,2,1,3,2,3,34.0,0,2017,9,Oakwood,1.5Story,,Excellent,543600
10312,1,10,1970,1968,1185.0,3121,1,1,1,1,8,0,1,550.0,0,2015,6,Suburbia,SplitLevel,Detached,Good,423800
4622,4,10,2018,2021,29.0,1532,2,1,5,2,7,2,2,57.0,0,2023,11,Downtown,1.5Story,Attached,Excellent,354000
